occ_id,stanza,pada,token_index,surface,lemma,morphology,arnold_metre_label,arnold_stratum_code,arnold_stratum,stratum_certainty,source_id,retrieval_date
PUR-OCC-040,04.027.01,c,3,púraḥ,púr-,case=NOM|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-041,04.030.13,c,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-042,04.030.20,b,1,purā́m,púr-,case=GEN|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-043,04.032.10,c,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-044,05.019.02,c,3,púram,púr-,case=ACC|gender=F|number=SG,MT,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-045,05.030.11,c,1,puraṃdaráḥ,puraṃdará-,case=NOM|gender=M|number=SG,M,N,Normal,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-046,05.041.12,c,3,púraḥ,púr-,case=NOM|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-047,05.066.04,b,2,pūrbhíḥ,púr-,case=INS|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-048,06.002.07,c,2,purí,púr-,case=LOC|gender=F|number=SG,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-049,06.016.14,c,2,puraṃdarám,puraṃdará-,case=ACC|gender=M|number=SG,MO,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-050,06.016.39,c,2,púraḥ,púr-,case=ACC|gender=F|number=PL,MO,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-051,06.018.05,d,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,n,Normal,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-052,06.018.08,d,1,purā́m,púr-,case=GEN|gender=F|number=PL,M,n,Normal,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-053,06.020.03,d,3,purā́m,púr-,case=GEN|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-054,06.020.07,b,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-055,06.020.10,c,3,púraḥ,púr-,case=ACC|gender=F|number=PL,MR,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-056,06.031.04,b,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,n,Normal,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-057,06.032.03,c,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,n,Normal,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-058,06.032.03,c,2,purohā́,purohán-,case=NOM|gender=M|number=SG,M,n,Normal,metrical-variations-only,SRC-022; SRC-023,2026-09-07
PUR-OCC-059,06.048.08,c,2,pūrbhíḥ,púr-,case=INS|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-060,06.073.02,c,4,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-061,07.003.07,d,2,pūrbhíḥ,púr-,case=INS|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-062,07.005.03,d,1,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-063,07.006.02,c,1,puraṃdarásya,puraṃdará-,case=GEN|gender=M|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-064,07.015.14,c,1,pū́ḥ,púr-,case=NOM|gender=F|number=SG,MO,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-065,07.016.10,d,2,pūrbhíḥ,púr-,case=INS|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-066,07.018.13,b,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-067,07.019.05,b,3,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-068,07.021.04,c,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-069,07.026.03,d,3,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-070,07.052.01,b,1,pū́ḥ,púr-,case=NOM|gender=F|number=SG,M,C,Cretic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-071,07.095.01,b,4,pū́ḥ,púr-,case=NOM|gender=F|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-072,07.099.05,b,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-073,08.001.07,c,4,puraṃdara,puraṃdará-,case=VOC|gender=M|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-074,08.001.08,b,3,puraṃdaráḥ,puraṃdará-,case=NOM|gender=M|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-075,08.001.08,d,4,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-076,08.001.28,a,2,púram,púr-,case=ACC|gender=F|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-077,08.006.23,b,1,púram,púr-,case=ACC|gender=F|number=SG,MO,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-078,08.017.14,c,3,purā́m,púr-,case=GEN|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-079,08.032.05,c,1,púram,púr-,case=ACC|gender=F|number=SG,MO,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-080,08.033.05,d,3,pūrbhít,pūrbhíd-,case=NOM|gender=M|number=SG,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-081,08.033.07,c,3,púraḥ,púr-,case=ACC|gender=F|number=PL,M,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-082,08.053.01,c,1,pūrbhíttamam,pūrbhíttama-,case=ACC|gender=M|number=SG|degree=SUP,MV,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-083,08.061.08,c,2,puraṃdarám,puraṃdará-,case=ACC|gender=M|number=SG,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-084,08.061.10,a,3,puraṃdaráḥ,puraṃdará-,case=NOM|gender=M|number=SG,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-085,08.069.08,d,1,púram,púr-,case=ACC|gender=F|number=SG,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-086,08.073.18,a,1,púram,púr-,case=ACC|gender=F|number=SG,MO,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-087,08.080.07,a,3,pū́ḥ,púr-,case=NOM|gender=F|number=SG,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-088,08.093.02,a,4,púraḥ,púr-,case=ACC|gender=F|number=PL,MO,S,Strophic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-089,08.097.14,a,2,púraḥ,púr-,case=ACC|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-090,08.098.06,b,3,purā́m,púr-,case=GEN|gender=F|number=PL,M,A,Archaic,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-091,08.100.08,b,3,púram,púr-,case=ACC|gender=F|number=SG,PE2,P,Popular,certain,SRC-022; SRC-023,2026-09-07
PUR-OCC-092,09.048.02,c,2,púraḥ,púr-,case=ACC|gender=F|number=PL,MO,N,Normal,certain,SRC-022; SRC-023,2026-09-07
