"parpola_class","description","tokens_in_corpus","stored_initial","stored_final","parpola_v_numbers","wells_w_numbers","mahadevan_m_numbers"
"P225","A 'Bowtie' motif. Or, an 'X' with vertical line connecting the left points, and same on right. Small vertical stroke in left side","0","0","0","V035","W542",""
"P226","Bowtie with another left-pointing triangle attached on the right, hatching throughout","4","0","4","V036","W545","M215"
"P227","A 'Bowtie' motif, but without the vertical line connecting the right points","0","0","0","V229 V298","W530","M225"
"P228","X with left points connected by vertical line, with another such X underneath, and a vertical bar connecting the cross-point of the two X's","1","0","0","V037","W531 W533","M228 M309"
"P229","A 'Bowtie' motif, but without the vertical line connecting the right points. Small 'v' coming off top right point","0","0","0","V032","W554","M226"
"P230","The 'pincer' motif. Right-pointing isocoles triangle on left, left-pointing isosceles triangle on right, with small part of right line removed in middle","23","0","4","V241 V033 V412 V593","W550 W555","M216"
"P231","The 'pincer' motif, with vertical stroke through the middle point","1","0","1","V240","W556","M221"
"P232","Right-pointing isocoles triangle on left, left-pointing isosceles triangle on right, with small part of right line removed in middle. Two leaves coming out of the connecting point.","1","0","1","V038 V583","W560 W561","M219"
"P233","The 'pincer' motif, with two vertically stacked leaves intersecting at the middle point. Caged by four small vertical strokes","0","0","0","V564","W562","M220"
"P234","Left-pointing isocoles triangle on right, right-pointing isosceles triangle on left, with small part of left line removed in middle.","3","0","1","V350 V793","W551","M216"
"P235","The 'pincer' motif with 'rake' coming from lower left. Rake is a long stroke with multiple short perpendiculars coming off one side. Pincer is missing at least one of the pincer teeth","0","0","0","V117","W532","M227"
"P236","The 'pincer' motif with 'rake' coming from lower left. Rake is a long stroke with multiple short perpendiculars coming off one side.","0","0","0","V378","",""
"P237","X with vertical connection on left two tips, right tips both have a slight vertical line toward each other, and three lines off the tip away from each other","1","0","0","V034","W564","M223"
"P238","X with vertical connection on left two tips, right tips both have a slight vertical line toward each other, and three lines off the tip away from each other. Line with three downward lines coming off left","3","2","0","V249 V198","W565","M224"
"P239","An 'X' where each arm is decorated with wheat sheaves","0","0","0","V688 V689","",""
"P240","An 'X' with no decoration","0","0","0","V122 V728","W645","M137"
"P241","An 'X' with no decoration, inside a cage of four small vertical strokes","0","0","0","V488","",""
"P242","An 'X' with two vertical strokes inside each angle of the X","0","0","0","V124","W680","M140"
"P243","An 'X' with a 'table' hat","0","0","0","V047","W679","M139"
"P244","An 'X' with a 'caret' hat","0","0","0","V282","W678","M138"
"P245","An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other","0","0","0","V313 V393","W685","M141"
"P246","X with two vertical strokes through it, caged by 4 short pairs of vertical lines","1","0","1","V562","W689","M143"
"P247","X with two vertical strokes through it, caged by inverted parentheses","1","0","1","V560","W688","M144"
"P248","An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other. All under a 'table' hat","0","0","0","V432 V791","","M142"
"P249","An 'X' with vertical lines connected to each arm, forming two 'fat arrows' pointed toward each other. Pitchfork head going across the center","0","0","0","V672","W686","M145"
"P250","A vertical stroke with a smallish X centered on the top","0","0","0","V335","W080","M158"
"P251","An X on top of a vertical stroke, with a decorated triangle hanging off the upper right","2","0","0","V287 V803","W081","M160"
"P252","A full-height vertical stroke with a smallish X near the top","0","0","0","V575","",""
"P253","An X near the top of a vertical stroke, with a caret hat","1","0","1","V085","W083","M159"
"P254","Two or more crossed lines (line an X or *) with small perpendicular decorations (ovals? lines) at each tip","1","0","1","V125 V736","W683 W684","M146 M147"
"P255","Two nested greater-than symbols, touching two nested less-than symbols","1","0","1","V232 V712","W690","M149"
"P256","An X but drawn in outline","12","0","9","V123 V507","W692","M150"
"P257","An X but drawn in outline. Three small adjacent triangles affixed diagonally to the top right arm","0","0","0","V372","W694","M151"
"P258","An X but drawn in outline, with tree stemming from bottom right corner","1","0","1","V574","W693","M152"
"P259","A central box, with orthogonal lines coming off in a pinwheel manner","0","0","0","V453","W528",""
"P260","An octothorpe, possibly rotated 45 degrees (see similarity with P359)","1","0","0","V742 V478","","M264"
"P261","Box with inward facing triangles on each corner, filled with small U's and X's","0","0","0","V441","",""
"P262","Tall rectangle with no decoration","0","0","0","V059","W600 W625","M237"
"P263","Tall rectangle with no decoration, connected to a tall vertical stroke on the left by a short diagonal line","0","0","0","V721","",""
"P264","Tall rectangle with two horizontal hatches going across the center","0","0","0","V060 V545","W603","M238"
"P265","Tall rectangle with vertical full height bar inside, and a horizontal bar across the left or right area","2","0","2","V061 V687","W621 W622","M242"
"P266","Tall rectangle with vertical full height bar inside, and a horizontal bar across the left or right area. Small U in the other area","0","0","0","V345","W623","M243"
"P267","Tall rectangle a box affixed to the left interior, the box has a horizontal crossbar","0","0","0","V064","W602","M239"
"P268","A grid of x by y cells","11","3","0","V069 V062 V092 V554 V696","W615","M241 M245"
"P269","A grid of x by y cells, with a tall vertical stroke on one side, both connected by a short diagonal line","0","0","0","V758","W616","M246"
"P270","Rectangle, taller than wide, with vertical strokes for teeth inside on top and bottom","5","0","1","V066 V065 V067 V068 V396 V400 V693","W630 W631 W632 W633 W634 W635 W636 W637 W638 W639","M244"
"P271","Rectangle, taller than wide, with vertical strokes for teeth inside on top and bottom. Two right parentheses inside everything","0","0","0","V405","W640",""
"P272","Trapezoid with inner rectangle","1","0","0","V318 V290","W362","M201"
"P273","Wide rectangle, with an X from corner to corner","0","0","0","V731 V792","",""
"P274","Tall central rectangle, flanked by two small boxes on the bottom","0","0","0","V029","W610","M257"
"P275","Square in middle, possibly with horizontal lines across, and lines coming from top and bottom","3","0","1","V072 V073 V074 V317 V783","W510 W511 W512 W513","M253"
"P276","Square at bottom with vertical bar coming off top middle","6","0","1","V027 V491","W590","M249"
"P277","Square at bottom with vertical bar coming off top middle. Caged by four small vertical strokes","0","0","0","V536","W592","M250"
"P278","Square at bottom with vertical bar coming off top middle. Interior is the 'pincer' motif with two leaves at the middle","0","0","0","V572","W593","M251"
"P279","Square at bottom with vertical bar coming off top middle, and two diagonals also coming from the bottom of the vertical bar","0","0","0","V451","",""
"P280","Box with vertical stroke off top center, horizontal striping","1","1","0","V028 V256","W595","M252"
"P281","Vertical line with two small boxes attached to the top","1","0","0","V358","W611","M256"
"P282","Box on top left, vertical extender from bottom left, horizontal extenders all along the right side","0","0","0","V259","W950","M170"
"P283","Rectangle, but with bottom line missing, and bottom-half of left line missing (like backward greek capital gamma with a prominent serif)","3","0","0","V031 V502","W440","M127"
"P284","Backward capital Gamma with serif, small vertical stroke inside the area","0","0","0","V477 V171","W443","M128"
"P285","Trapezoid with no bottom line, bird-foot in bottom","1","0","0","V049","W572","M195"
"P286","Trapezoid with no bottom line, bird-foot in bottom, 'table' hat","0","0","0","V589","W573","M196"
"P287","Trapezoid with no bottom line, bird-foot in bottom. Two small vertical strokes on top","0","0","0","V711","",""
"P288","Trapezoid with no bottom line, two short outward perpendiculars off bottom left and right and from top center, bird-foot in bottom","3","0","0","V050 V683","","M194"
