"parpola_class","description","tokens_in_corpus","stored_initial","stored_final","parpola_v_numbers","wells_w_numbers","mahadevan_m_numbers"
"P025","Person holding tree with branches","0","0","0","V388 V237","","M021"
"P026","Person with pitchfork","2","0","0","V138 V763","W130","M019"
"P027","Person with pitchfork, small vertical stroke between feet","0","0","0","V353","W131","M020"
"P028","Person with antenna","0","0","0","V336","W133","M023"
"P029","Person with two antennae","0","0","0","V697","W134","M024"
"P030","Person with short stick, several small vertical strokes coming away from stick","0","0","0","V340 V305","W145",""
"P031","Person with staff","3","0","0","V136 V450","W142","M025"
"P032","Person with staff, caged by four small vertical strokes","1","0","1","V570","W144","M026"
"P033","Person with two staves","0","0","0","V348","W143",""
"P034","Person with bow and arrow, but no bowstring","0","0","0","V137","W146","M027"
"P035","Person with bow and arrow","4","0","1","V139 V390","W125 W126","M028"
"P036","Person with two bows and arrows","0","0","0","V304","W127","M029"
"P037","Person with triangular 'pincer'","1","0","0","V316 V718","W122","M036"
"P038","Person with diamond connected to the right","1","0","1","V366","W119","M030"
"P039","Person with large leaf, dot in leaf","0","0","0","V417","W117","M031"
"P040","Person with U","2","0","0","V140 V096","W110 W111","M032"
"P041","Person with U with vertical stroke inserted, stroke has a small dot at the bottom","1","0","1","V141","W112","M034"
"P042","Person with cat's paw","0","0","0","V142 V780","W113","M035"
"P043","Deer facing to the right (see also P303)","2","0","1","V288","W340 W341 W342 W343 W344 W345 W347 W348","M050"
"P044","Deer facing to the left","1","0","1","V077","W346","M050"
"P045","Cow's leg with horizontal hatching","0","0","0","V328 V269","W280","M084"
"P046","Cow's leg with horizontal hatching, bracketed by angled vertical lines","0","0","0","V408","W281","M085"
"P047","Vertical line with rounded and hatched decoration at the middle, capped by a caret hat","1","0","1","V323 V264","W517 W518","M398"
"P048","Fish with no arms, caret hat, diagonal hatching throughout","1","0","0","V087","W243","M075"
"P049","Fish with no arms and no other decoration","0","0","0","V354","",""
"P050","Fish with no other decoration","32","1","0","V177 V517","W220","M059"
"P051","Fish with four small vertical strokes around the four corners","5","5","0","V513 V321","W226","M060"
"P052","Fish and 'table' with four small vertical strokes around the four corners, 'table' has a small box on top","0","0","0","V546","W944","M061"
"P053","Simple fish inside parentheses, with a small tooth coming off the top right or the right paren","1","0","0","V521","W222","M062"
"P054","Simple fish and bird inside parentheses","1","0","0","V588 V325","W940","M064"
"P055","Simple bird and fish inside parentheses","0","0","0","V558","W942 W943","M064"
"P056","Fish with a small vertical stroke in the body","9","0","0","V178 V461","W231","M070"
"P057","Fish with a small vertical stroke in the body, caged by four small vertical strokes","0","0","0","V522 V669","W232","M071"
"P058","Fish with a horizontal line through body","15","0","1","V179 V463","W233","M072"
"P059","Fish with a horizontal line through body, caged by four small vertical lines","0","0","0","V530 V172","W234","M073"
"P060","Fish with a caret shaped hat","20","0","1","V086 V568","W235","M065"
"P061","Fish with a caret shaped hat, caged by four small vertical strokes","1","0","0","V520","W236","M066"
"P062","Fish with extra whiskers on cheeks","21","0","0","V180 V236 V541","W240 W242","M067"
"P063","Fish with extra whiskers on cheeks, caged by four small vertical strokes","0","0","0","V512 V120","W241","M068"
"P064","Fish with extra legs","0","0","0","V181","W227 W228","M074"
"P065","Fish with bird wings and a three feather tail","1","0","1","V183","W244","M083"
"P066","Semi-realistic bird with no wings","0","0","0","V188 V531","W264 W266 W268","M076 M077 M078"
"P067","Large left and right parentheses surrounding an upward-pointing bird with no wings","3","1","0","V503 V263","W265 W267 W269 W270 W271","M081"
"P068","Duck in circular pond","0","0","0","V515","W952","M082"
"P069","Semi-realistic bird with no wings, swan's neck pointing backwards","0","0","0","V524","W262","M079"
"P070","Upward-pointing bird with wings","1","0","1","V747","W272","M080"
"P071","Leftward-pointing bird with vertical tail","1","0","1","V189 V489","W260","M076"
"P072","Leftward-pointing bird with rooster tail","0","0","0","V527","",""
"P073","Unknown asymmetric animal? Perhaps a fish with asymmetric fins and legs?","8","0","1","V184 V460","W255","M051"
"P074","Unknown asymmetric animal? Perhaps a fish with asymmetric fins and legs? Attached on left to a tall vertical stroke","0","0","0","V368","W256","M052"
"P075","Leaf with 'pincers' coming off the right, possibly with small stroke legs off top and bottom of leaf","4","0","1","V168 V579","W193 W797 W798","M053"
"P076","Squashed spider, with right two legs slightly more away from the body","6","0","4","V190 V544","W190 W192 W194","M054 M055"
"P077","Two stacked leaves, with ladder going up and to the right from the center","0","0","0","V193 V490","W201","M412"
"P078","Two stacked half-leaves (just the right half), with long stroke going up and to the right from the center","0","0","0","V357","W894","M310"
"P079","Two stacked leaves","0","0","0","V781","W200","M410"
"P080","Two stacked leaves, connected on left to a tall vertical stroke","0","0","0","V419","W203","M413"
"P081","Serif'd three sided hat, over two small dots connected by a diagonal line","0","0","0","V722","",""
"P082","Two stacked leaves, two inverted caret legs on each leaf, and wings pointing away from each other on each leaf","2","0","0","V195","W205 W206 W207 W208 W209","M057"
"P083","Two stacked leaves, with lines coming away on the right of each leaf","1","0","0","V194","W204","M056"
"P084","Oval with several short strokes coming off the bottom, and a very small tree-like shape at the top.","1","0","0","V191 V557","W285 W286 W287","M395"
"P085","Singly, symetrically bifurcated tall vertical stroke","0","0","0","V443","W064","M161"
"P086","Simple tree with branches at the top","35","19","1","V126 V127 V151 V508","W390 W392 W405 W406 W407 W408","M161 M162 M167 M168 M169"
"P087","Simple tree with branches at the top, caged in four pairs of small vertical strokes","0","0","0","V748","W393","M164"
"P088","Simple tree with branches at the top, with a pitchfork head at either top or bottom","0","0","0","V466 V547","W394","M165 M166"
"P089","Three pronged tree with caret hat","1","1","0","V084 V801","W391","M163"
"P090","Tall vertical stroke, with M shaped diagonal wiggle through middle","0","0","0","V592","W956",""
"P091","Horizontal line with multiple lines out the top, lines or U out the bottom","5","1","0","V045 V044 V523","W350 W352 W353 W354","M174 M175"
"P092","Pitchfork with tines","6","0","1","V042 V182","W415","M171"
"P093","Two pitchforks with tines, facing each other vertically","0","0","0","V360","W417","M172"
"P094","Pitckfork with two vertical tines on ends, one triangular tine in the middle","1","0","1","V247 V464","W521",""
"P095","Pitckfork with two stacked heads","4","0","3","V043 V404","W416","M173"
"P096","U where one arm has a double headed pitchfork, the other is a tree symbol","3","0","0","V212","W770 W772 W773","M348"
"P097","Pitckfork with two stacked heads, inside a rectangular box, possibly with a small tooth off the right edge of the box","0","0","0","V733","W642",""
"P098","Vertical line with small horizontal lines coming off one side across the entire height","4","3","0","V051 V486","W400 W402","M176"
"P099","Vertical line with small horizontal lines crossing it across the entire height","1","1","0","V026","W413","M177"
"P100","Wheat shaft. Vertical stroke with upward pointing diagonal strokes on both sides, going the full length of the shaft","0","0","0","V470","W411","M168"
"P101","Wheat shaft. Vertical stroke with upward pointing diagonal strokes on both sides, but leaves only at the top","0","0","0","V795","","M167"
"P102","Curved wheat shaft in two long vertical strokes. Wheat shaft is: curved stroke with upward pointing diagonal strokes on both sides, going the full length of the shaft","0","0","0","V382","W412",""
"P103","Plant curving left, small leaf at top, larger leaf at middle forming two leaves on either side of stem","3","0","1","V187 V295","W374","M400"
"P104","Plant curving left, small leaf at top, larger leaf at middle forming two leaves on either side of stem. Bracketed by two inward taperd vertical lines","0","0","0","V476","W375","M401"
"P105","Plant curving left, small leaf at top, larger leaf at middle forming two leaves on either side of stem. Standing on top of horizontal pedestal","0","0","0","V272","",""
"P106","Flowering plant with 'sapling' on right, 'tree branch' on left","0","0","0","V238","W767","M351"
"P107","Flowering plant with 'sapling' on left, 'tree branch' on right, 'garlic' in center","0","0","0","V342","W768","M372"
"P108","The 'garlic' motif. Vertical stroke, broken by a circle with a dot in it","5","0","3","V174 V573","W370 W371 W372","M397"
"P109","The 'garlic' motif next to a leaf with a small vertical center decoration, all inside a cage of four small vertical strokes","0","0","0","V561","W946","M377"
"P110","Upside-down heart symbol with horizontal hatching, with vertical stroke coming from bottom of heart. Heart has two small decorations coming off the top center","3","0","1","V094 V739","W388","M327"
"P111","Upside-down heart symbol, with vertical stroke coming from bottom of heart","2","0","0","V167 V483","W382","M325"
"P112","Upside-down heart symbol, possibly with vertical stroke coming from bottom of heart, vertical stroke decoration","0","0","0","V093 V293","W384 W385","M326"
"P113","Upside-down heart symbol, possibly with vertical stroke coming from bottom of heart, vertical stroke decoration. On top of three horizontally adjacent triangles","0","0","0","V745","",""
"P114","A single vertical line, with two person arms; head may be circle or continuation of line","3","0","1","V173 V091 V373 V528","W070 W072","M155"
"P115","A single vertical line, with two person arms; head may be circle or continuation of line. Bracketed by inverted parentheses","0","0","0","V555","W073","M156"
"P116","A single vertical line, with two person arms; head is crossed by a horizontal decoration","0","0","0","V326","W071","M157"
"P117","Flowering plant with three stems that meet at the bottom","2","0","0","V215 V214 V266","W776 W783 W784 W785 W786","M367"
"P118","Flowering plant with two stems that meet at the bottom. Leaf with pincers between stems","0","0","0","V497 V724","W777 W778 W782","M362 M363 M364"
"P119","Two top-aligned small vertical strokes (prefer P122)","0","0","0","V025 V509","","M099"
"P120","A single small vertical line, then another vertical line with the bottom half slanting under the first line (like a Japanese 'ri' character).","22","0","0","V154 V469","W060","M123"
"P121","Simple, half-height vertical stroke","10","1","0","V001 V023 V258 V423 V764 V768","W001","M097 M098"
"P122","Two adjacent half-height simple vertical strokes","76","0","0","V002 V231 V765 V769","W002","M099 M100"
"P123","Three adjacent half-height simple vertical strokes","13","0","5","V003 V199 V766 V770","W003","M102 M103"
"P124","Four adjacent half-height simple vertical strokes","4","0","2","V004 V016 V438 V678 V767 V771","W004 W014","M104 M105"
"P125","Five simple vertical strokes","4","0","2","V005 V017 V715 V799","W005 W015","M106 M107"
"P126","Six short vertical strokes","6","0","1","V006 V018 V670 V723","W006 W016","M108 M109"
"P127","Seven short vertical strokes","4","0","1","V007 V019 V690","W007 W017","M110 M112"
"P128","Eight short vertical strokes","2","0","0","V020","W018","M114"
"P129","Nine short vertical strokes","0","0","0","V314 V021","W019","M115 M116"
"P130","Ten short vertical strokes","0","0","0","V022","W020","M118"
"P131","One tiny caret","0","0","0","V594 V310","","M312"
"P132","Two tiny stacked carets","0","0","0","V498 V311","","M313"
"P133","Three tiny stacked carets","0","0","0","V473","","M314"
"P134","Four tiny stacked carets","0","0","0","V499","",""
"P135","Many tiny stacked carets","0","0","0","V500","",""
"P136","Seven short vertical strokes, bracketed by parentheses","1","0","0","V529 V397 V717 V796","W048 W049","M111 M113"
"P137","Nine short vertical strokes, capped by 'table' hat","0","0","0","V437","W051","M117"
"P138","Caret above a small vertical stroke","0","0","0","V082 V459","","M153"
"P139","Two small vertical strokes over one small vertical stroke","4","0","0","V015 V292","W013","M103"
"P140","Two stacked small vertical strokes","0","0","0","V014","W012","M101"
"P141","Three rows of off-center or slanted small vertical strokes","0","0","0","V492 V130 V729","W025 W026 W027 W028 W029","M119 M120"
"P142","Four small vertical strokes above the same, above the same","4","0","1","V024 V280","W055","M121"
"P143","Four small vertical strokes above the same, above the same. Bracketed by right parentheses","0","0","0","V493","W057","M122"
"P144","One full-height vertical stroke","8","1","2","V008 V501","W031","M086"
"P145","Two adjacent full-height vertical strokes","27","0","4","V009 V543","W032","M087"
"P146","Two adjacent full-height vertical strokes, surrounded on either side by a vertical bar over another vertical bar","0","0","0","V756","","M088"
"P147","Three adjacent full-height vertical strokes","14","1","1","V010 V424","W033","M089"
"P148","Three adjacent full-height vertical strokes. Small 'tree' off right side","0","0","0","V331","W045 W046","M090 M091"
"P149","Three adjacent full-height vertical strokes. Caret hat","0","0","0","V759","W044","M092"
"P150","Four adjacent full-height vertical strokes","0","0","0","V294","W034","M095"
"P151","Five adjacent simple tall vertical strokes","2","0","0","V012 V784","W035","M096"
"P152","Three adjacent full-height vertical strokes, third (and maybe second) stroke is angled away slightly","0","0","0","V250","","M093 M094"
"P153","Three adjacent full-height vertical strokes, first stroke is angled away slightly","0","0","0","V383","",""
"P154","Right parenthesis (perhaps with a backward curve at the bottom)","14","0","3","V153 V265 V289 V511","W900","M287"
"P155","Wavy line caged by short double vertical strokes, possibly with a stroke missing","0","0","0","V514","W926","M289"
"P156","Right parenthesis with small, slightly inward-and-downward horizontal line from middle","1","0","1","V445 V681","W901","M288"
"P157","Right parenthesis with small, diagonal stroke through it","0","0","0","V495","",""
"P158","Right parenthesis with small tooth on it facing right","0","0","0","V319","",""
"P159","Right parenthesis with small inward strokes on top, and a tooth outward on top","0","0","0","V221 V735","",""
"P160","Right parenthesis with small leaf at middle","6","0","1","V220 V155","W920","M293"
"P161","Right parenthesis with small leaf at middle, stroke crossing top part of paren","0","0","0","V355","W922",""
