"cand_id","cdial_id","headword","donor_family","direction","turner_hedged","turner_rv_tag_in_entry","rv_simplex_lemma","rv_simplex_tokens","rv_derivative_lemmas","rv_compound_lemmas","rv_books_simplex","rv_strata_simplex","bracket","source_id","retrieval_date"
"DE-CAND-076","3286","kuddāla","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. ← Drav. EWA i 229 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-077","3335","kulattha","dravidian","into-Indo-Aryan","yes","no","","0","","","","","← Drav. (Tam. koḷ 'id.', etc.), T. Burrow TPS 1945, 92 and EWA i 237, 565, with same suffix as in aśvattha-, kapittha-, dadhittha-: the same kul- in kulīnaka- ?","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-078","3340","kulā́ya","dravidian","into-Indo-Aryan","no","no","","0","","√kulāyay-","","","Prob. with kulya- and *ghōla-² ← Drav. Tam. kuṭai, Mal. kūṭa, Kan. Tu. gūḍe, Tel. gūḍa 'basket'; Tam. kūṭu, Mal. kūḍu, Kan. Tel. Tu. gūḍu 'nest'. For sense 'nest' NTS xii 265 proposes pejorative ku- + lāya- and compares Pers. kunām, Bal. kuδām 'nest' &lt; *ku-dāman-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-079","3341","kúlāla","dravidian","into-Indo-Aryan","no","no","","0","","","","","→ Pers. → Par. kəlấlī 'pot': non-Aryan J. Charpentier MO xxvi 141, prob. with other 'pot' words s.v. kuṭa-¹ ← Drav. Otherwise, but less likely, EWA i 239 with lit.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-080","3350","kulya","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. ← Drav.: see kulā́ya-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-081","3354","*kulla","dravidian","into-Indo-Aryan","no","no","","0","","","","","kulija- n. 'a partic. vessel' Kauś., 'a measure' Pāṇ., kulharī-, °rikā- f. 'pot' Bhpr.: prob. with kúlāla- and other 'pot' words s. v. kuṭa-¹ ← Drav.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-082","3391","kūṭa","dravidian","into-Indo-Aryan","no","no","kū́ṭa-","1","","","10:1","P:1","J. Bloch BSOS v 738 and T. Burrow TPS 1945, 93 connect with √kuṭṭ as ← Drav.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-083","3392","kūṭa","dravidian","into-Indo-Aryan","no","no","kū́ṭa-","1","","","10:1","P:1","Prob. ← Drav. T. Burrow TPS 1945, 94; but for poss. conn. with kūṭa-¹ cf. ghaná-¹ 'club' ~ ghaná-² 'compact, dense'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-084","3393","kūṭa","dravidian","into-Indo-Aryan","no","no","kū́ṭa-","1","","","10:1","P:1","kuṭaka- n. 'plough without a pole' lex. ← Drav. T. Burrow TPS 1945, 93 and EWA i 251","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-085","3395","kūṭa","dravidian","into-Indo-Aryan","yes","no","kū́ṭa-","1","","","10:1","P:1","Perh. same as kūṭá-⁷ 'hornless' AV., Pa. kūṭa- (← Drav.? EWA i 251) and so conn. *kuṭṭa-³, *khōṭi-, *khōṭṭa-. Similar range of meaning in other 'defective' groups, e.g. laṭṭa-¹","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
