"measure","n","pct"
"stanzas_with_both_samhita_and_padapatha","10552",""
"padapatha_skeleton_differs_from_samhita_skeleton","10530","99.79"
"padapatha_skeleton_identical_to_samhita_skeleton","22","0.21"
"padapatha_skeleton_differs_from_restored_text_skeleton","10535","99.84"
"padapatha_skeleton_differs_after_stripping_inserted_iti","10525","99.74"
"median_character_similarity_samhita_vs_padapatha","0.9128",""
"mean_character_similarity_samhita_vs_padapatha","0.9095",""
"stanzas_at_similarity_1.0","27","0.26"
